,Location,Burrito,Neighborhood,Address,Yelp,Google,Chips,Cost,Hunger,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Cheese,Fries
211,Lucha Libre North Park,California - Steak,,,,,,7.5,5.0,3.5,3.0,2.0,3.0,3.0,2.0,4.0,2.5,5.0,4.0,x,x
212,Lucha Libre North Park,California - Pork Adobada,,,,,,7.5,4.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,5.0,3.0,x,x
213,Lucha Libre North Park,California - Pork Adobada,,,,,,7.5,4.5,3.5,4.0,4.5,4.0,3.5,3.5,4.0,4.0,4.5,4.0,x,x
214,Lucha Libre North Park,California - Pork Adobada,,,,,,7.5,2.0,4.0,5.0,5.0,4.0,4.5,4.5,5.0,4.5,4.0,4.0,x,x
215,Lucha Libre North Park,California - Chicken,,,,,,7.5,4.0,3.5,2.5,3.0,4.5,3.0,2.0,5.0,4.5,3.5,2.0,x,x
216,Lucha Libre North Park,California - Chicken,,,,,,7.5,3.0,3.5,5.0,3.5,4.0,3.0,3.0,4.0,2.5,5.0,3.0,x,x
217,Lucha Libre North Park,Holy Moly,,,,,,7.5,5.0,3.5,2.0,3.5,3.5,3.0,4.0,2.0,2.0,4.0,4.0,x,
218,Lucha Libre North Park,Holy Moly,,,,,,7.5,3.0,2.5,2.5,3.0,2.0,2.0,1.0,5.0,1.0,5.0,2.0,x,
219,Lucha Libre North Park,Holy Moly,,,,,,7.5,4.0,5.0,3.0,5.0,5.0,3.0,2.0,2.0,3.0,5.0,4.0,x,
220,Lucha Libre North Park,Holy Moly,,,,,,7.5,5.0,5.0,4.0,2.0,1.0,4.0,3.0,5.0,4.0,2.0,2.0,x,
221,Lucha Libre North Park,Holy Moly,,,,,,7.5,4.5,4.0,4.0,3.5,4.5,4.0,4.0,5.0,4.5,4.0,4.0,x,
240,Taco Villa,Carnitas,UTC,9500 Gilman Dr,3.5,3.5,,5.99,2.5,3.2,3.8,4.5,2.8,4.0,2.0,1.8,3.5,5.0,4.0,,
241,Rigoberto's Taco Shop,Campeon,,,,,,7.65,4.5,3.5,4.5,2.5,2.5,1.0,1.5,3.0,2.5,3.0,3.0,x,x
242,Rigoberto's Taco Shop,California,,,,,,6.6,3.5,4.0,4.5,4.0,4.0,4.5,5.0,4.5,4.5,4.5,4.0,,
243,Rigoberto's Taco Shop,Bacon breakfast,,,,,,6.3,4.0,4.0,3.6,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,x,x
244,Rigoberto's Taco Shop,Carnitas,,,,,,6.6,3.0,4.0,4.0,5.0,5.0,4.5,3.0,2.0,4.0,4.0,4.0,,
245,Taco Villa,Al pastor,,,,,,5.99,4.0,3.5,3.5,2.0,3.0,4.5,4.5,3.0,3.0,5.0,3.0,,
255,Taco Villa,Chicken and rice,,,,,,4.95,3.0,3.5,5.0,4.0,4.0,3.78,5.0,,4.7,5.0,4.0,,
256,Taco Villa,California ,,,,,,6.99,3.5,3.0,3.0,3.0,3.0,3.7,3.5,3.8,3.0,5.0,4.0,X,X
260,Taco Villa,Breakfast,,,,,,4.99,4.0,4.5,5.0,3.0,3.0,3.0,2.5,0.0,2.5,5.0,3.0,,
261,California Burritos,California Everything,,,,,,6.95,4.0,4.0,2.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,,
262,California Burritos,Surf & Turf,,,,,,7.0,4.0,3.0,3.0,3.5,4.0,4.0,3.0,3.0,4.0,3.5,5.0,,
263,Taco Villa,Carnitas,,,,,,5.95,3.0,4.0,3.0,4.0,3.0,4.0,2.0,3.5,3.0,5.0,4.0,,
264,Taco Villa,Tejano,,,,,,6.99,3.5,2.0,5.0,4.2,3.0,4.7,5.0,3.7,4.2,5.0,4.0,x,x
265,Taco Villa,Al pastor,,,,,,,4.5,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,,
266,Taco Villa,Shrimp with guac,,,,,,,2.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,,
267,Taco Villa,Bean & cheese,,,,,,,3.0,5.0,5.0,,3.0,2.0,2.0,,1.0,5.0,2.0,x,
301,Rigoberto's Taco Shop,California,,,,,,6.6,,4.0,4.5,4.0,3.5,3.5,5.0,1.5,3.5,4.5,4.0,,
302,Rigoberto's Taco Shop,Chile Relleno,,,,,,6.6,,4.0,2.0,,4.0,,4.6,4.2,3.75,5.0,4.0,,
305,Taco Villa,Chicken,,,,,,4.99,3.5,2.5,4.5,3.0,2.5,3.0,3.0,2.0,2.0,4.0,3.0,,
312,Taco Villa,Pollo asado,,,,,,5.99,4.5,2.0,4.0,2.5,3.5,4.5,3.0,2.0,1.5,3.4,3.0,,
313,Taco Villa,Al pastor,,,,,,6.99,3.5,2.5,4.5,4.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,,
316,Taco Villa,California,,,,,,,4.3,3.0,3.0,3.5,4.0,3.0,1.5,3.8,4.0,5.0,4.0,,
333,Taco Villa,Carnitas,,,,,,5.99,4.0,2.0,4.5,4.5,3.0,3.8,4.4,2.5,3.5,3.0,4.0,,
334,Taco Villa,Carnitas,,,,,,5.99,4.0,4.0,4.0,4.0,3.0,4.0,3.5,2.5,3.5,5.0,4.0,,
343,Rigoberto's Taco Shop,California,,,,,,6.85,4.0,3.5,5.0,3.3,3.0,5.0,2.0,3.0,3.8,3.5,4.0,,
344,Rigoberto's Taco Shop,California,,,,,,6.85,4.0,4.0,5.0,4.0,4.0,5.0,3.5,2.0,3.5,4.0,4.0,,
363,Taco Villa,Carne asada,,,,,,6.99,3.0,3.0,4.5,2.0,3.0,2.5,4.0,2.0,2.0,4.0,2.0,,
376,Taco Villa,Carnitas,,,,,,5.99,2.0,2.0,2.5,4.0,3.0,4.0,3.5,3.0,3.0,5.0,4.0,,
377,Taco Villa,Carne asada,,,,,,6.99,3.5,4.0,4.0,4.0,4.5,4.0,3.5,4.0,4.0,4.0,4.0,,
380,Rigoberto's Taco Shop,California ,,,,,,6.85,3.5,3.0,4.5,3.8,3.8,4.0,3.5,3.5,4.0,3.0,4.0,,
381,Rigoberto's Taco Shop,California ,,,,,,6.85,3.5,3.0,4.5,4.0,4.0,4.5,3.0,4.0,4.0,3.5,4.0,,
